"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\TXLib.h", "C++", -7513, -5629, -3258, -16400
"Total", "-", -7513, -5629, -3258, -16400
